MUNICIPI,DISTRICTE,SECCIO,MUNDISSEC,area,perimeter
"080155","09","037","08015509037",11906.5793457031,441.372818746952
"080155","09","038","08015509038",34600.1228027344,894.802857515928
"080155","09","042","08015509042",38293.3801269531,964.427315807032
"080155","09","043","08015509043",20111.7668457031,778.822584773518
"080155","09","044","08015509044",17773.3806152344,590.482304462537
"080155","09","045","08015509045",36775.2243652344,1144.6494338857
"080155","09","047","08015509047",23447.4251708984,822.728991866121
"080155","09","049","08015509049",25763.8001708984,930.342570841979
"080155","09","050","08015509050",14713.4168701172,522.88939910935
"080155","09","052","08015509052",11168.6636962891,545.604815834382
"080155","09","053","08015509053",20193.7808837891,590.867255433703
"080155","09","054","08015509054",19444.0744628906,661.948210094587
"080155","09","057","08015509057",34768.3266601562,845.620538039104
"080155","09","058","08015509058",25498.4262695312,628.863631238402
"080155","09","059","08015509059",21218.2763671875,570.72135290727
"080168","01","001","08016801001",43029097.0805664,60935.8572854532
"080174","01","001","08017401001",1130200.00476074,7296.74313624459
"080174","01","002","08017401002",16105599.3917236,24508.6758953713
"080180","01","001","08018001001",302340.079711914,3292.46547614186
"080180","01","002","08018001002",358745.482788086,2549.13816769586
"080180","01","003","08018001003",36017369.3323975,30793.900952874
"080193","01","001","08019301001",218707.547241211,2793.610045027
"080193","01","002","08019301002",38160.2645263672,896.600042331337
"080193","01","003","08019301003",40581.2707519531,854.911242910102
"080193","01","004","08019301004",97770.6550292969,1476.55835879272
"080193","01","005","08019301005",60932.9862060547,1174.44861980998
"080193","01","006","08019301006",37114.7780761719,834.731114924848
"080193","01","007","08019301007",41121.9665527344,853.884361798785
"080193","01","008","08019301008",35399.4462890625,871.489755428065
"080193","01","009","08019301009",26282.4537353516,653.891652066821
"080193","01","010","08019301010",27311.001953125,686.395860412223
"080193","01","011","08019301011",37218.8039550781,1084.0863516668
"080193","01","012","08019301012",23529.1243896484,625.391604407472
"080193","01","013","08019301013",16262.4885253906,579.287038568383
"080193","01","014","08019301014",16530.2799072266,557.2322638124
"080193","01","015","08019301015",22182.0534667969,622.562010876991
"080193","01","016","08019301016",24590.2457275391,708.748559700617
"080193","01","017","08019301017",19584.2932128906,549.491514303087
"080193","01","018","08019301018",57310.2241210938,1069.23936593173
"080193","01","019","08019301019",78411.611328125,1275.69864533634
"080193","01","020","08019301020",85885.2720947266,1357.0091792315
"080193","01","021","08019301021",84620.9632568359,1558.52548191536
"080193","01","022","08019301022",81473.0144042969,1145.28862317786
"080193","01","023","08019301023",93479.9797363281,1358.29423594886
"080193","01","025","08019301025",82392.4439697266,1144.2437686033
"080193","01","026","08019301026",60833.4108886719,1122.06860330665
"080193","01","027","08019301027",47800.5982666016,991.870689329393
"080193","01","028","08019301028",71703.5433349609,1254.69147784356
"080193","01","029","08019301029",48144.0382080078,944.305810142957
"080193","01","030","08019301030",280636.632568359,3662.20196161592
"080193","01","031","08019301031",45904.4797363281,1112.29664749707
"080193","01","032","08019301032",562304.532104492,13535.8359652553
"080193","01","033","08019301033",14413.2467041016,482.497826821125
"080193","01","034","08019301034",33110.5750732422,821.88788678378
"080193","01","035","08019301035",29260.1851806641,790.200348076925
"080193","01","036","08019301036",391138.163208008,3563.8404580709
"080193","01","037","08019301037",17265.4865722656,563.12206798509
"080193","01","038","08019301038",16609.9821777344,549.815382097232
"080193","01","039","08019301039",33374.3629150391,792.557899080103
"080193","01","040","08019301040",19303.6922607422,689.522209552233
"080193","01","041","08019301041",19072.3736572266,580.316602773406
"080193","01","042","08019301042",54016.8592529297,1021.68136584338
"080193","01","043","08019301043",540349.016113281,3525.92254898395
"080193","01","044","08019301044",53182.0258789062,935.046325576066
"080193","01","045","08019301045",53816.8521728516,1064.16235499029
"080193","01","046","08019301046",48067.6605224609,1051.88310082988
"080193","01","047","08019301047",49077.0987548828,903.737896916782
"080193","01","048","08019301048",31832.8299560547,875.382841302931
"080193","01","049","08019301049",28848.0975341797,865.617025668785
"080193","01","050","08019301050",28460.68359375,694.862840559881
"080193","01","051","08019301051",23023.5415039062,639.925046114819
"080193","01","052","08019301052",91369.2279052734,1704.85398168613
"080193","01","053","08019301053",41248.8369140625,1023.05022763365
"080193","01","054","08019301054",29714.5567626953,943.922366988458
"080193","01","055","08019301055",95666.3238525391,1606.55988301213
"080193","02","001","08019302001",157251.047851562,1841.602278441
"080193","02","002","08019302002",35712.1600341797,803.047063478312
"080193","02","003","08019302003",35403.3521728516,797.224971913184
"080193","02","004","08019302004",17915.4226074219,535.594250278651
"080193","02","005","08019302005",36307.6544189453,807.486017363512
"080193","02","006","08019302006",35637.6060791016,801.546821908308
"080193","02","007","08019302007",37220.0129394531,804.062211678993
"080193","02","008","08019302008",39888.3861083984,834.382576880411
"080193","02","009","08019302009",37953.4405517578,835.155757605442
"080193","02","010","08019302010",21755.5070800781,588.577104776986
"080193","02","011","08019302011",19851.3883056641,563.926750863054
"080193","02","012","08019302012",43817.8753662109,954.759821393793
"080193","02","013","08019302013",128723.970214844,1632.40494058804
"080193","02","014","08019302014",35497.0014648438,840.236057722326
"080193","02","015","08019302015",28753.1149902344,721.592486205899
"080193","02","016","08019302016",60839.3029785156,1121.21712382928
"080193","02","017","08019302017",38081.9924316406,835.321527177979
"080193","02","018","08019302018",29069.4134521484,717.062410860796
"080193","02","019","08019302019",38147.6704101562,852.690639698388
"080193","02","020","08019302020",51077.5715332031,957.588023156216
"080193","02","021","08019302021",39158.4268798828,857.045585487493
"080193","02","022","08019302022",68145.7297363281,1156.98614995832
"080193","02","023","08019302023",17501.6173095703,529.655415987524
"080193","02","024","08019302024",42471.8518066406,1280.31568839862
"080193","02","025","08019302025",17338.0789794922,526.683505965268
"080193","02","026","08019302026",33925.3717041016,787.508089179114
"080193","02","027","08019302027",34679.8083496094,786.207843425364
"080193","02","028","08019302028",34732.6381835938,786.98189200052
"080193","02","029","08019302029",17365.3341064453,527.176379055415
"080193","02","030","08019302030",17867.7689208984,534.794740137571
"080193","02","031","08019302031",18005.8267822266,536.663058696548
"080193","02","032","08019302032",34442.8603515625,785.773019390266
"080193","02","033","08019302033",17442.4655761719,528.915665359209
"080193","02","034","08019302034",18005.0173339844,536.457144224675
"080193","02","035","08019302035",17563.9837646484,530.390672238497
"080193","02","036","08019302036",25885.8726806641,708.172836730394
"080193","02","037","08019302037",16991.8944091797,521.604969616481
"080193","02","038","08019302038",54590.7088623047,1080.37989579817
"080193","02","039","08019302039",25563.2318115234,701.724342509284
"080193","02","040","08019302040",26903.3934326172,721.730545199566
"080193","02","041","08019302041",27372.6309814453,720.282467939561
"080193","02","042","08019302042",34883.8859863281,782.016448346858
"080193","02","043","08019302043",20802.4631347656,577.869095547208
"080193","02","044","08019302044",20125.5751953125,568.707379249698
"080193","02","045","08019302045",16333.1466064453,511.79478784229
"080193","02","046","08019302046",25783.5461425781,707.542359216234
"080193","02","047","08019302047",26277.1696777344,710.966566808524
"080193","02","048","08019302048",21003.3387451172,581.071291847509
"080193","02","049","08019302049",75863.2037353516,1102.71408212653
"080193","02","050","08019302050",34639.6960449219,793.258847634227
"080193","02","051","08019302051",40445.9984130859,837.143937985765
"080193","02","052","08019302052",50772.9584960938,1029.931140394
"080193","02","053","08019302053",42650.6335449219,920.940840625132
"080193","02","054","08019302054",35458.2277832031,797.841678637471
"080193","02","055","08019302055",36591.4613037109,815.411772711753
"080193","02","056","08019302056",60650.3770751953,1051.16681914856
"080193","02","057","08019302057",32070.6177978516,757.120958556521
"080193","02","058","08019302058",34943.8754882812,790.267273415546
"080193","02","059","08019302059",35404.8012695312,800.19792335079
"080193","02","060","08019302060",47869.3010253906,1086.9211958655
"080193","02","061","08019302061",48328.3459472656,916.919469984104
"080193","02","062","08019302062",48426.66015625,927.168190760184
"080193","02","063","08019302063",48869.3142089844,931.503680591896
"080193","02","064","08019302064",35881.7115478516,803.232588145472
"080193","02","065","08019302065",71661.8046875,1335.81540985532
"080193","02","066","08019302066",35875.376953125,802.920950410917
"080193","02","067","08019302067",35855.8658447266,802.085972824934
"080193","02","068","08019302068",37254.6618652344,804.8147440786
"080193","02","069","08019302069",52261.0205078125,1058.43720535359
"080193","02","070","08019302070",53488.2860107422,1069.09610300752
"080193","02","071","08019302071",53664.7467041016,1069.98217539522
"080193","02","072","08019302072",59633.6469726562,1099.5537215761
