Nom municipi,Districte,Secció,Cens electoral,Votants,xcoord,ycoord,MUNICIPI,area,Turnout,Density
ALELLA,1,4,1700,1051,2.28694450824876,41.5061877446374,80039.0,5197637.36706543,0.6182352941176471,327.07168275570075
ALFARA DE CARLES,1,1,314,121,0.368751152218243,40.8537257793802,430081.0,63930173.2336426,0.3853503184713376,4.911608777477248
ALFARRÀS,1,1,1130,616,0.565655800296746,41.8213396099838,250138.0,10856224.0118408,0.5451327433628319,104.0877563660733
ALFARRÀS,1,2,942,455,0.566467874089404,41.8425065886823,250138.0,447787.567138672,0.4830148619957537,2103.676093597925
ALFORJA,1,1,1417,800,0.961047319147327,41.2049734935313,430094.0,38430974.152832,0.5645730416372619,36.871300591155595
ALFÉS,1,1,250,168,0.634492821295525,41.5137002696818,250143.0,32175029.6942139,0.672,7.770000599096821
ALGERRI,1,1,347,212,0.635112363872922,41.8235577605548,250156.0,54416849.1566162,0.6109510086455331,6.37670143306727
ALGUAIRE,1,1,976,533,0.58299403114145,41.7354440080068,250169.0,321568.562133789,0.5461065573770492,3035.1225677152297
ALGUAIRE,1,2,1098,592,0.561778712104293,41.7387901063177,250169.0,50111132.4588623,0.5391621129326047,21.911298869595104
ALINS,1,1,231,157,1.35172520443902,42.5793935720819,250175.0,182784898.185303,0.6796536796536796,1.2637805545938356
ALIÓ,1,1,349,202,1.30649916062363,41.2973442190344,430108.0,7237375.71789551,0.5787965616045845,48.22189887655612
ALMACELLES,1,1,807,393,0.440498912063597,41.7265132116344,250194.0,152097.032226562,0.48698884758364314,5305.823448270194
ALMACELLES,1,2,1371,620,0.434536050971683,41.7292559972611,250194.0,382555.463378906,0.4522246535375638,3583.7940671156457
ALMACELLES,2,1,923,424,0.438161488780026,41.7321652506657,250194.0,149287.956176758,0.4593716143011918,6182.682271483183
ALMACELLES,2,2,1490,657,0.458099828620491,41.7313159180907,250194.0,48288229.2662354,0.44093959731543625,30.856380998875295
ALMATRET,1,1,272,199,0.406597035085966,41.3210062791148,250208.0,56437452.4324951,0.7316176470588235,4.819494648971611
ALMENAR,1,1,589,257,0.521860449980149,41.7853365516306,250215.0,48142171.767334,0.4363327674023769,12.234595540196533
ALMENAR,2,1,1016,513,0.576251842032391,41.8021010327073,250215.0,3833785.24157715,0.5049212598425197,265.0122362049774
ALMENAR,2,2,922,497,0.591956045732215,41.7759165659327,250215.0,14776313.6171875,0.5390455531453362,62.39715966285047
ALMOSTER,1,1,1094,739,1.10065311130379,41.1995830130348,430115.0,6001622.89050293,0.6755027422303473,182.2840288301293
ALP,1,1,1228,735,1.93595416609998,42.3465073197751,170062.0,44019323.4437256,0.5985342019543974,27.896839477096414
ALPENS,1,1,212,178,2.09214972031011,42.1208367294792,80044.0,13778821.9681396,0.839622641509434,15.385930705121375
ALPICAT,1,1,1697,904,0.554593868159217,41.6677826438546,250236.0,346463.533569336,0.5327047731290513,4898.062380525794
ALPICAT,1,2,1644,959,0.556159187806965,41.6627227124573,250236.0,364673.341064453,0.5833333333333334,4508.144179668556
ALPICAT,1,3,1301,836,0.555156042420532,41.6704185518797,250236.0,14586758.5554199,0.6425826287471176,89.1904801918173
ALT ÀNEU,1,1,366,248,1.06077221420543,42.6824685098145,250241.0,218059206.332275,0.6775956284153005,1.678443236385513
ALTAFULLA,1,1,968,590,1.38278251787539,41.1572036175168,430120.0,4601575.05273438,0.609504132231405,210.36275381943153
