Nom municipi,Districte,Secció,Cens electoral,Votants,xcoord,ycoord,MUNICIPI,area,Turnout,Density
BARCELONA,7,118,934,551,2.15877303450595,41.4301070836287,80193.0,45909.5853271484,0.5899357601713062,20344.335357080297
BARCELONA,7,119,880,459,2.15887755223978,41.4288241204333,80193.0,28109.7016601562,0.5215909090909091,31305.917460068486
BARCELONA,7,120,930,463,2.1596956152124,41.4271950123692,80193.0,58451.2672119141,0.4978494623655914,15910.690124617837
BARCELONA,7,121,823,458,2.16069128140813,41.4290469347442,80193.0,19233.0183105469,0.5565006075334143,42790.99550114231
BARCELONA,7,122,995,505,2.16267113901811,41.4285340137684,80193.0,54001.3798828125,0.507537688442211,18425.455093170454
BARCELONA,7,123,1078,607,2.16413863445214,41.4299030371178,80193.0,35077.5541992188,0.5630797773654916,30731.903195919163
BARCELONA,8,1,983,522,2.1661060389696,41.43009847528,80193.0,18863.5072021484,0.5310274669379451,52111.200184875706
BARCELONA,8,2,983,528,2.1655625884478,41.4284484595022,80193.0,32800.7286376953,0.5371312309257376,29968.84645026804
BARCELONA,8,3,908,488,2.16727514133433,41.4284448712426,80193.0,19324.8670654297,0.5374449339207048,46986.09294054723
BARCELONA,8,4,968,508,2.16815863831089,41.4297835713998,80193.0,24030.6624755859,0.5247933884297521,40281.86909051906
BARCELONA,8,5,885,450,2.17006897723322,41.4296461685532,80193.0,27603.1531982422,0.5084745762711864,32061.554476912363
BARCELONA,8,6,1101,625,2.16923410447561,41.4281733952528,80193.0,38769.7668457031,0.5676657584014533,28398.416848411485
BARCELONA,8,7,924,476,2.17150471589081,41.4290348403371,80193.0,22530.3588867188,0.5151515151515151,41011.33074026085
BARCELONA,8,8,1195,649,2.17120641281036,41.427434721058,80193.0,24431.47265625,0.5430962343096234,48912.31964661361
BARCELONA,8,9,1219,665,2.174164064773,41.4266389846725,80193.0,45088.3645019531,0.5455291222313372,27035.799889064423
BARCELONA,8,10,846,433,2.17267629274794,41.428929307217,80193.0,28472.2950439453,0.5118203309692672,29713.094736277813
BARCELONA,8,11,870,546,2.17383620610345,41.4290619129841,80193.0,30299.6510009766,0.6275862068965518,28713.2020092231
BARCELONA,8,12,977,511,2.17606933512001,41.4270547195319,80193.0,49095.5627441406,0.5230296827021494,19899.965401997593
BARCELONA,8,13,858,529,2.17511272031943,41.428987189386,80193.0,24126.2192382812,0.6165501165501166,35562.96954471038
BARCELONA,8,14,900,468,2.17640447954263,41.4293575262707,80193.0,34875.5318603516,0.52,25806.058058233342
BARCELONA,8,15,974,518,2.17862799508735,41.4287167144644,80193.0,35033.6965332031,0.5318275154004107,27801.805015833652
BARCELONA,8,16,807,414,2.17906766693927,41.4298545110831,80193.0,25487.8304443359,0.5130111524163569,31662.16919727421
BARCELONA,8,17,1018,564,2.18105314594851,41.4285142749134,80193.0,36337.3367919922,0.5540275049115914,28015.261708016547
BARCELONA,8,18,1133,603,2.18349736860843,41.4281330531374,80193.0,17332.6811523438,0.5322153574580759,65367.844134534884
BARCELONA,8,19,1182,581,2.18236756617233,41.4294457550041,80193.0,32612.4631347656,0.49153976311336717,36243.81253006192
BARCELONA,8,20,957,526,2.18105656672055,41.4308353379282,80193.0,27305.7376708984,0.5496342737722049,35047.57906686918
BARCELONA,8,21,1049,563,2.17977738493977,41.431605708197,80193.0,28584.3469238281,0.5367016205910391,36698.40709656188
BARCELONA,8,22,931,538,2.17768131300565,41.4324782248627,80193.0,29536.2084960938,0.5778732545649838,31520.633398938997
BARCELONA,8,23,939,457,2.17820322887081,41.4310938115327,80193.0,25575.0368652344,0.48668796592119273,36715.48959823538
BARCELONA,8,24,976,524,2.17598203305913,41.43089700003,80193.0,30794.5357666016,0.5368852459016393,31693.93451478904
BARCELONA,8,25,808,402,2.1755952439489,41.4318506036858,80193.0,19337.5541992188,0.4975247524752475,41783.98114238468
BARCELONA,8,26,956,480,2.17574848115904,41.4333157195651,80193.0,47876.3786621094,0.502092050209205,19968.093383733783
BARCELONA,8,27,1043,585,2.17828650568275,41.4361719058986,80193.0,100730.384277344,0.5608820709491851,10354.373285505164
BARCELONA,8,28,820,435,2.17852761144325,41.4341398686188,80193.0,26584.3077392578,0.5304878048780488,30845.264358307242
BARCELONA,8,29,1098,465,2.18214085073377,41.4355520674755,80193.0,293444.137329102,0.42349726775956287,3741.7683992390566
BARCELONA,8,30,977,501,2.18020279792881,41.4383340725663,80193.0,28755.3714599609,0.5127942681678608,33976.26079567008
BARCELONA,8,31,968,441,2.17766563452242,41.4384316783196,80193.0,13752.3978271484,0.4555785123966942,70387.72526555958
BARCELONA,8,32,970,512,2.17651594053972,41.4372641085073,80193.0,36130.2364501953,0.5278350515463918,26847.319456021905
BARCELONA,8,33,984,444,2.17492805125898,41.4376414006068,80193.0,24123.0430908203,0.45121951219512196,40790.8735351241
BARCELONA,8,34,818,353,2.1738126943523,41.4363945957034,80193.0,15416.3138427734,0.4315403422982885,53060.67379936276
BARCELONA,8,35,1459,565,2.175315032556,41.4355173415112,80193.0,29083.734375,0.387251542152159,50165.4973597248
BARCELONA,8,36,1015,420,2.17394167209827,41.435149283483,80193.0,24128.2208251953,0.41379310344827586,42066.92268582486
BARCELONA,8,37,1107,482,2.17353715663846,41.4340144264727,80193.0,39944.5975341797,0.43541102077687444,27713.384746279262
BARCELONA,8,38,999,463,2.17312973411013,41.4323362830746,80193.0,35335.7658691406,0.46346346346346345,28271.63853472455
BARCELONA,8,39,1008,518,2.17138942624343,41.4343893703541,80193.0,27356.9759521484,0.5138888888888888,36846.177799883604
BARCELONA,8,40,1238,523,2.17073966009298,41.4332071428915,80193.0,35524.1561279297,0.42245557350565427,34849.52592657544
BARCELONA,8,41,1265,491,2.16946480015779,41.4325715696665,80193.0,22459.8460693359,0.38814229249011856,56322.73685646875
BARCELONA,8,42,957,520,2.17223321149684,41.4314022495494,80193.0,36849.0183105469,0.5433646812957158,25970.841120781995
BARCELONA,8,43,882,388,2.17091464828786,41.430835752901,80193.0,24842.4705810547,0.4399092970521542,35503.71518493932
BARCELONA,8,44,847,368,2.16902099883665,41.4313900322945,80193.0,20473.0690917969,0.4344746162927981,41371.42292649097
BARCELONA,8,45,1037,407,2.16781385830578,41.4309143120395,80193.0,14841.1656494141,0.39247830279652846,69873.2178116305
BARCELONA,8,46,958,448,2.16485987551764,41.4312746988635,80193.0,26905.810546875,0.46764091858037576,35605.69187577468
BARCELONA,8,47,914,350,2.1658343953753,41.4326313188563,80193.0,109520.722045898,0.38293216630196936,8345.452649745685
BARCELONA,8,48,740,208,2.16774286080644,41.4343816640576,80193.0,57059.9324951172,0.2810810810810811,12968.820109685972
BARCELONA,8,49,926,337,2.16526233476019,41.4352641397632,80193.0,62455.0128173828,0.36393088552915764,14826.672163331476
BARCELONA,8,50,1114,693,2.16993357432853,41.4353996009926,80193.0,29466.2850341797,0.6220825852782765,37805.9195011453
BARCELONA,8,51,995,535,2.16472260296733,41.4378720699537,80193.0,99081.7335205078,0.5376884422110553,10042.214287601824
BARCELONA,8,52,721,383,2.16623752133865,41.4383298528157,80193.0,14232.4805908203,0.5312066574202496,50658.77275568058
BARCELONA,8,53,890,507,2.16734922250621,41.4382616908618,80193.0,20960.9522705078,0.5696629213483146,42459.90299077375
BARCELONA,8,54,1331,746,2.16943377850085,41.4381126077457,80193.0,46403.0979003906,0.560480841472577,28683.42977568306
BARCELONA,8,55,1491,885,2.17261224364412,41.4380349464869,80193.0,34758.919921875,0.5935613682092555,42895.46405213994
BARCELONA,8,56,1119,596,2.1704650372576,41.4395875368566,80193.0,52981.5139160156,0.5326184092940125,21120.574277545158
BARCELONA,8,57,1006,515,2.1719497874901,41.4407857150419,80193.0,118727.568237305,0.5119284294234593,8473.179522967
BARCELONA,8,58,1202,548,2.1680311987518,41.440691420921,80193.0,59245.4284667969,0.4559068219633943,20288.485223355936
BARCELONA,8,59,759,371,2.16482574862339,41.4400844258481,80193.0,51436.1712646484,0.4888010540184453,14756.152748905197
BARCELONA,8,60,966,525,2.16367618940952,41.4412000115276,80193.0,50662.5023193359,0.5434782608695652,19067.356640047277
BARCELONA,8,61,1309,611,2.16288079829709,41.4427913028579,80193.0,55333.8454589844,0.466768525592055,23656.407559280906
BARCELONA,8,62,975,516,2.16618923408126,41.4426314130137,80193.0,72444.7860107422,0.5292307692307693,13458.525501827362
BARCELONA,8,63,917,519,2.16887533714804,41.4429871379783,80193.0,34445.8901367188,0.5659760087241004,26621.463296792317
BARCELONA,8,64,1376,617,2.16281195962013,41.4460115474326,80193.0,587988.444580078,0.4484011627906977,2340.1820438541
BARCELONA,8,65,1072,392,2.17110063979465,41.4478085674056,80193.0,183430.682128906,0.3656716417910448,5844.169511655916
BARCELONA,8,66,993,319,2.17595216631799,41.4497588684003,80193.0,50002.3681640625,0.32124874118831825,19859.059409783815
BARCELONA,8,67,1173,490,2.17937723542369,41.4502641832643,80193.0,186272.279174805,0.4177323103154305,6297.233303830529
BARCELONA,8,68,1169,450,2.17578659225963,41.4476521160855,80193.0,24246.1469726562,0.3849443969204448,48213.84615536439
BARCELONA,8,69,980,394,2.17403873559345,41.4472381165401,80193.0,21547.2338867188,0.4020408163265306,45481.47595891872
BARCELONA,8,70,887,371,2.17472937037733,41.4464705304043,80193.0,25052.5010986328,0.4182638105975197,35405.64658625668
BARCELONA,8,71,1142,473,2.17417437338767,41.4458111065391,80193.0,21117.6274414062,0.4141856392294221,54078.04466522758
BARCELONA,8,72,827,386,2.17178516179635,41.4457748102307,80193.0,21764.94921875,0.4667472793228537,37996.87248006803
BARCELONA,8,73,1020,303,2.17319708244795,41.4446203004353,80193.0,51811.82421875,0.29705882352941176,19686.62588859158
BARCELONA,8,74,903,314,2.17772919439224,41.4461234768787,80193.0,56480.7752685547,0.3477297895902547,15987.740885397146
BARCELONA,8,75,1222,523,2.17805850484158,41.4446839180284,80193.0,37035.6488037109,0.427986906710311,32995.236737355546
BARCELONA,8,76,1134,519,2.17699099290087,41.4426260533746,80193.0,38028.9942626953,0.4576719576719577,29819.35289076004
BARCELONA,8,77,1030,340,2.1758218422723,41.4439667402501,80193.0,36967.1961669922,0.3300970873786408,27862.540489875755
BARCELONA,8,78,993,402,2.17335568891463,41.4431494932905,80193.0,34910.2222900391,0.40483383685800606,28444.39063578612
BARCELONA,8,79,907,390,2.17379473377511,41.441670554417,80193.0,26203.9267578125,0.42998897464167585,34613.13292404105
BARCELONA,8,80,1002,456,2.17494708865732,41.4418873620857,80193.0,23610.8101806641,0.4550898203592814,42438.187945815625
BARCELONA,8,81,942,377,2.17515664081739,41.4408104281037,80193.0,18765.4056396484,0.4002123142250531,50198.754990390386
BARCELONA,8,82,1075,464,2.17572144501543,41.4402853648022,80193.0,21914.38671875,0.4316279069767442,49054.5327047746
BARCELONA,8,83,841,369,2.17646938318712,41.439149422002,80193.0,30743.0046386719,0.43876337693222356,27355.816709668597
BARCELONA,8,84,830,392,2.17935971982326,41.4395117573491,80193.0,14984.5421142578,0.472289156626506,55390.414579986034
BARCELONA,8,85,990,453,2.17861742451344,41.4401576675241,80193.0,21928.3031005859,0.4575757575757576,45147.13224542889
BARCELONA,8,86,1162,525,2.1775154965788,41.440723954876,80193.0,26867.6458740234,0.45180722891566266,43249.04405277513
BARCELONA,8,87,873,415,2.17881063388795,41.4422252564742,80193.0,23509.1856689453,0.4753722794959908,37134.4210851675
BARCELONA,8,88,886,407,2.17966337445685,41.4432932325967,80193.0,26618.056640625,0.45936794582392776,33285.67565852157
BARCELONA,8,89,831,320,2.1800633375387,41.4443075720034,80193.0,20286.8997802734,0.3850782190132371,40962.394895253965
BARCELONA,8,90,864,405,2.18161575974909,41.4430627145681,80193.0,22465.2684326172,0.46875,38459.36684849771
BARCELONA,8,91,895,410,2.18048984728772,41.4416799348329,80193.0,29393.8740234375,0.4581005586592179,30448.521324081434
BARCELONA,8,92,751,395,2.18189579771083,41.4400079288633,80193.0,53651.1135253906,0.525965379494008,13997.845536693032
BARCELONA,8,93,928,434,2.18216128606781,41.4418090199133,80193.0,25800.7963867188,0.4676724137931034,35967.88200218876
BARCELONA,8,94,1164,565,2.18376973692193,41.4418337473554,80193.0,35559.5590820312,0.4853951890034364,32733.814199293247
BARCELONA,8,95,857,490,2.18497469257571,41.4410197818552,80193.0,42333.9775390625,0.5717619603267211,20243.7864292158
BARCELONA,8,96,1087,518,2.18554669765108,41.4434298732081,80193.0,30007.8961181641,0.4765409383624655,36223.799086735286
BARCELONA,8,97,965,441,2.18617521855312,41.4456395421001,80193.0,56107.2781982422,0.45699481865284974,17199.194667586507
BARCELONA,8,98,888,405,2.18453913942984,41.4453052276393,80193.0,14547.5355224609,0.4560810810810811,61041.26699872692
BARCELONA,8,99,953,423,2.18379260020255,41.4437448403491,80193.0,23459.6038818359,0.4438614900314795,40623.021803785894
BARCELONA,8,100,921,373,2.18314155294216,41.4444337800315,80193.0,16755.9803466797,0.40499457111834963,54965.45000319852
BARCELONA,8,101,1278,586,2.18311594170579,41.4459784593148,80193.0,32824.5822753906,0.458528951486698,38934.234997352825
BARCELONA,8,102,1034,349,2.18107358599583,41.4451812668775,80193.0,45791.5943603516,0.33752417794970985,22580.56340783983
BARCELONA,8,103,931,288,2.18121282529354,41.4483018193512,80193.0,93215.6260986328,0.30934479054779807,9987.595845946424
BARCELONA,8,104,826,266,2.18369598276195,41.4474881924901,80193.0,45660.9920654297,0.3220338983050847,18089.839108541208
BARCELONA,8,105,958,398,2.18659144117224,41.4481685623587,80193.0,64046.4517822266,0.4154488517745303,14957.893424875921
BARCELONA,8,106,712,275,2.18798008629585,41.4509973663198,80193.0,58706.7066650391,0.3862359550561798,12128.086217856415
BARCELONA,8,107,1428,455,2.18508619325155,41.4520055744093,80193.0,317284.897827148,0.31862745098039214,4500.686952891004
BARCELONA,8,108,1134,414,2.18115906739687,41.4565607860179,80193.0,592686.185058594,0.36507936507936506,1913.3228149866372
BARCELONA,8,109,703,228,2.17064362666882,41.4539827921518,80193.0,1167944.13098145,0.32432432432432434,601.9123529558328
BARCELONA,8,110,990,291,2.17076403126246,41.4602335777849,80193.0,88992.2902832031,0.29393939393939394,11124.55918203128
BARCELONA,8,111,946,330,2.17408407118594,41.4599957566827,80193.0,66760.6105957031,0.3488372093023256,14170.032172547075
BARCELONA,8,112,922,367,2.17813055830288,41.4606975369893,80193.0,39482.521484375,0.39804772234273317,23352.105319942057
BARCELONA,8,113,1025,385,2.1759911009321,41.4609987029521,80193.0,36581.1596679688,0.375609756097561,28019.88808729622
BARCELONA,8,114,1162,423,2.17626473614382,41.462934783619,80193.0,74332.5209960938,0.3640275387263339,15632.457831762003
BARCELONA,8,115,946,389,2.17832992153541,41.4622644458041,80193.0,59520.779296875,0.41120507399577166,15893.609108872462
BARCELONA,8,116,924,311,2.18424494699136,41.4632942627868,80193.0,577718.067626953,0.3365800865800866,1599.3960580035898
BARCELONA,8,215,1034,519,2.17035947477791,41.4366440298647,80193.0,84121.7879638672,0.5019342359767892,12291.702601995736
BARCELONA,9,1,1262,438,2.19052540004465,41.4554973103786,80193.0,253072.927734375,0.347068145800317,4986.704865265531
BARCELONA,9,2,1135,428,2.19235069508254,41.4519186514476,80193.0,38701.9145507812,0.37709251101321584,29326.714535291383
BARCELONA,9,3,1201,420,2.19028063702201,41.4519521501996,80193.0,27358.0844726562,0.34970857618651124,43899.27230469564
BARCELONA,9,4,1012,414,2.191286279648,41.4503853725816,80193.0,29288.9388427734,0.4090909090909091,34552.29311763528
BARCELONA,9,5,1095,567,2.19436096171193,41.4497164022066,80193.0,473246.569580078,0.5178082191780822,2313.804410609077
BARCELONA,9,6,886,328,2.20003923782639,41.4478751713679,80193.0,47491.3596191406,0.37020316027088035,18656.025161320344
BARCELONA,9,7,926,359,2.19879400065335,41.4453454508668,80193.0,182692.44519043,0.3876889848812095,5068.627764190146
BARCELONA,9,8,1162,819,2.19683829377335,41.4394380508513,80193.0,283966.151367188,0.7048192771084337,4092.0370065425614
BARCELONA,9,9,1030,503,2.20261207703144,41.4411400814422,80193.0,615205.111083984,0.4883495145631068,1674.2383661038712
BARCELONA,9,10,1450,683,2.20294745554837,41.4371689780405,80193.0,92020.1387939453,0.4710344827586207,15757.42026695798
BARCELONA,9,11,1216,455,2.20725020490588,41.4374893897895,80193.0,99634.9140625,0.37417763157894735,12204.557121785794
BARCELONA,9,13,1233,444,2.20781911862683,41.4348086824055,80193.0,120271.620605469,0.36009732360097324,10251.795010268057
BARCELONA,9,14,1292,388,2.20521660991278,41.4342766434253,80193.0,63013.4981689453,0.30030959752321984,20503.5434873973
BARCELONA,9,15,1160,476,2.20055433926334,41.4323148122956,80193.0,579272.956542969,0.4103448275862069,2002.5101929887076
BARCELONA,9,16,1136,691,2.19508753359102,41.4314774451425,80193.0,21922.4583740234,0.608274647887324,51819.005907936014
BARCELONA,9,17,1156,635,2.19406073129417,41.4314172228142,80193.0,38647.5867919922,0.5493079584775087,29911.31131218583
BARCELONA,9,18,1182,631,2.19499325699066,41.4304563562281,80193.0,24974.5673828125,0.5338409475465313,47328.147145942254
BARCELONA,9,19,2091,1277,2.19483732122612,41.4287832386631,80193.0,61188.3568115234,0.6107125777140124,34173.1680496151
BARCELONA,9,20,918,582,2.19247501646523,41.4290043080204,80193.0,45552.89453125,0.6339869281045751,20152.396668673548
BARCELONA,9,21,1056,650,2.19054612880976,41.4296204147328,80193.0,35323.8435058594,0.615530303030303,29894.821604699795
BARCELONA,9,22,988,642,2.19172994317114,41.4307601359237,80193.0,30955.611328125,0.6497975708502024,31916.668985385008
BARCELONA,9,23,938,663,2.19185582484156,41.4319331500975,80193.0,35336.3508300781,0.7068230277185501,26544.90285402022
BARCELONA,9,24,914,599,2.19160179068266,41.4333304758288,80193.0,78453.0617675781,0.6553610503282276,11650.278260748826
BARCELONA,9,25,899,573,2.19135436958582,41.4351884221895,80193.0,81101.2337646484,0.6373748609566184,11084.911514525806
BARCELONA,9,26,1227,761,2.19036907066623,41.4369078589958,80193.0,23556.4512939453,0.6202118989405053,52087.64192403526
BARCELONA,9,27,1071,647,2.19247099025014,41.4371145171378,80193.0,29570.6473388672,0.6041083099906629,36218.34813850335
BARCELONA,9,28,1196,832,2.19241078089218,41.4386534332411,80193.0,31456.1844482422,0.6956521739130435,38021.140229765966
BARCELONA,9,29,901,467,2.19156088309161,41.4392023810428,80193.0,13488.1323242188,0.5183129855715871,66799.46328686272
BARCELONA,9,30,1082,688,2.19202839096391,41.4404057761967,80193.0,20018.4683837891,0.6358595194085028,54050.08911052359
BARCELONA,9,31,871,569,2.19418286354234,41.442894887646,80193.0,234975.637084961,0.653272101033295,3706.7672666212175
BARCELONA,9,32,1467,739,2.19114148719826,41.4446926806693,80193.0,210990.447387695,0.5037491479209271,6952.921414988931
BARCELONA,9,33,2347,1231,2.18780906102243,41.4444614978707,80193.0,78889.4307861328,0.5244993608862377,29750.49986559868
BARCELONA,9,34,1069,563,2.18664077287597,41.4413755311307,80193.0,18850.6437988281,0.5266604303086997,56708.93850672926
BARCELONA,9,35,1204,674,2.18688123712849,41.4396618240227,80193.0,30925.4953613281,0.5598006644518272,38932.27855957273
BARCELONA,9,36,1147,682,2.18800891471704,41.4410753297178,80193.0,29148.2562255859,0.5945945945945946,39350.55294982554
BARCELONA,9,37,1070,601,2.18981669291775,41.4409203528438,80193.0,41960.494140625,0.5616822429906542,25500.176342395724
BARCELONA,9,38,1325,785,2.19001545927199,41.4390383322345,80193.0,37804.2833251953,0.5924528301886792,35048.93846557677
BARCELONA,9,39,1228,641,2.18873363427634,41.4385208318217,80193.0,27477.0512695312,0.5219869706840391,44691.84076392167
BARCELONA,9,40,1138,659,2.18686171169951,41.4380112901989,80193.0,60060.9064941406,0.5790861159929701,18947.432971412454
BARCELONA,9,41,1046,632,2.18724104699072,41.4367933261201,80193.0,34383.1021728516,0.6042065009560229,30421.92047539871
BARCELONA,9,42,968,581,2.18852257639688,41.4353121498091,80193.0,38704.1455078125,0.6002066115702479,25010.240823030377
BARCELONA,9,43,977,512,2.18560757847327,41.4361308265888,80193.0,28623.8081054688,0.5240532241555783,34132.42558083446
BARCELONA,9,44,1125,740,2.18717100325333,41.4345980492929,80193.0,43080.7741699219,0.6577777777777778,26113.736850751666
BARCELONA,9,45,1106,621,2.18504917162397,41.4345546864973,80193.0,28610.4449462891,0.5614828209764918,38657.21075209818
BARCELONA,9,46,1030,684,2.18505527475417,41.4332811566524,80193.0,37778.1451416016,0.6640776699029126,27264.440753756215
BARCELONA,9,47,1232,767,2.18783227075484,41.4327007968214,80193.0,47190.1640625,0.622564935064935,26107.13534219343
BARCELONA,9,48,1073,674,2.18444885241474,41.4323430520472,80193.0,22200.2844238281,0.6281453867660765,48332.71410019969
BARCELONA,9,49,960,560,2.18371991686646,41.4305797573306,80193.0,43804.5758056641,0.5833333333333334,21915.51869510099
BARCELONA,9,50,1162,776,2.18588893265913,41.4312223853816,80193.0,40021.8052978516,0.6678141135972461,29034.17253050244
BARCELONA,9,51,945,560,2.1880128206092,41.430782776494,80193.0,40424.2701416016,0.5925925925925926,23377.045440518108
BARCELONA,9,52,908,564,2.18985022912724,41.4287283384334,80193.0,21162.1278076172,0.6211453744493393,42906.83849254375
BARCELONA,9,53,1212,751,2.18832129702864,41.4292311713023,80193.0,35041.0726318359,0.6196369636963697,34587.9823010572
BARCELONA,9,54,866,516,2.18586245851202,41.4293803214647,80193.0,36943.0487060547,0.5958429561200924,23441.487108725512
BARCELONA,9,55,1241,682,2.18565061202449,41.4274057358315,80193.0,34594.8170166016,0.5495568090249798,35872.42561232396
BARCELONA,9,56,937,540,2.187366951358,41.4257178382788,80193.0,18043.9378662109,0.576307363927428,51928.797746229626
BARCELONA,9,57,1134,597,2.18775518663039,41.4241240346911,80193.0,41647.7551269531,0.5264550264550265,27228.35832431485
BARCELONA,9,58,1032,613,2.18985150375367,41.4235542837027,80193.0,48132.9849853516,0.5939922480620154,21440.59838204654
BARCELONA,9,59,1027,564,2.18990375504218,41.4251974170381,80193.0,24065.2266845703,0.549172346640701,42675.683610263804
BARCELONA,9,60,1028,547,2.18874123427979,41.4271037747678,80193.0,87108.7419433594,0.5321011673151751,11801.341370174247
BARCELONA,9,61,1208,781,2.19286840922749,41.4265454494906,80193.0,91504.0751953125,0.6465231788079471,13201.5978241577
BARCELONA,9,62,843,442,2.19385116504875,41.4244097562223,80193.0,144549.875854492,0.5243179122182681,5831.8970875394425
BARCELONA,9,63,881,510,2.1923898408254,41.4197914300851,80193.0,219742.42590332,0.5788876276958003,4009.2394373930015
BARCELONA,9,64,933,624,2.19050329971422,41.418796819279,80193.0,40352.0682373047,0.6688102893890675,23121.49143169469
BARCELONA,9,65,1496,903,2.18848260497079,41.4200545981443,80193.0,34974.1372070312,0.6036096256684492,42774.46477505224
BARCELONA,9,66,1107,657,2.18924771658641,41.4211650791959,80193.0,23314.1124267578,0.5934959349593496,47481.97056515379
BARCELONA,9,67,1058,528,2.18778449036358,41.4219743350082,80193.0,28623.8885498047,0.499054820415879,36962.13385400492
BARCELONA,9,68,1171,707,2.18576110743893,41.4221269822828,80193.0,41125.5290527344,0.6037574722459437,28473.79783244737
BARCELONA,9,69,673,369,2.18629154006927,41.4237555032756,80193.0,19303.3864746094,0.5482912332838039,34864.34884807527
BARCELONA,9,70,1154,486,2.18561873818625,41.4247950283326,80193.0,15431.0034179688,0.42114384748700173,74784.50809337597
BARCELONA,9,71,1347,754,2.18493902838117,41.4263603917997,80193.0,27024.1251220703,0.5597624350408315,49844.35181214877
BARCELONA,9,72,967,460,2.18461403115275,41.4247291907494,80193.0,11496.6501464844,0.4756980351602896,84111.45748361337
BARCELONA,9,73,1209,762,2.18481404975614,41.4235363474291,80193.0,13537.1867675781,0.630272952853598,89309.54568016932
BARCELONA,9,74,1215,719,2.18304169597542,41.4244490225365,80193.0,45380.1977539062,0.5917695473251029,26773.792538077167
BARCELONA,9,75,1082,640,2.18237192278234,41.4267763991704,80193.0,70365.3634033203,0.5914972273567468,15376.883564122176
BARCELONA,9,76,1076,585,2.17873453070738,41.4271255047583,80193.0,39649.1136474609,0.5436802973977695,27138.059366653866
BARCELONA,9,77,1173,712,2.18059380417668,41.4255136927377,80193.0,43249.8869628906,0.6069906223358909,27121.458167196157
BARCELONA,9,78,1026,606,2.17953579779698,41.4243861549977,80193.0,42601.7940673828,0.5906432748538012,24083.492783829406
BARCELONA,9,79,1222,761,2.17769627175818,41.4252123210146,80193.0,37068.0211181641,0.6227495908346972,32966.421274676424
BARCELONA,9,80,999,577,2.17977258712902,41.423111416357,80193.0,25957.3137207031,0.5775775775775776,38486.26289873806
BARCELONA,9,81,1262,691,2.18256057485444,41.4226176585297,80193.0,45917.2653808594,0.5475435816164818,27484.215131985286
BARCELONA,9,82,1362,767,2.18099427578856,41.4214163203675,80193.0,56836.5223388672,0.5631424375917768,23963.464757389054
BARCELONA,9,83,1150,686,2.18450488153972,41.4208384700697,80193.0,57601.8433837891,0.5965217391304348,19964.63884563189
BARCELONA,9,84,1259,787,2.18175847047949,41.4192567773116,80193.0,33057.5086669922,0.625099285146942,38085.14466963165
BARCELONA,9,85,1281,683,2.18155769081363,41.4174982868707,80193.0,38999.5158691406,0.5331772053083529,32846.56159061772
BARCELONA,9,86,983,507,2.1839391883556,41.4192168043834,80193.0,36210.0020751953,0.5157680569684638,27147.195351125873
BARCELONA,9,87,952,588,2.18445753906537,41.4179636703525,80193.0,16620.6492919922,0.6176470588235294,57278.147398168854
BARCELONA,9,88,1370,795,2.18591651798137,41.4167779324956,80193.0,30113.7059326172,0.5802919708029197,45494.23452116883
BARCELONA,9,89,1055,649,2.18611285726666,41.4187539645517,80193.0,40031.6882324219,0.6151658767772512,26354.122111331526
BARCELONA,9,90,1127,635,2.1876089713916,41.4170927579064,80193.0,30905.2482910156,0.5634427684117125,36466.29819594842
BARCELONA,9,91,1371,810,2.18771295501271,41.4190296104609,80193.0,23938.4544677734,0.5908096280087527,57271.86781609805
BARCELONA,9,92,1431,815,2.18956393351407,41.4175195947561,80193.0,35020.3774414062,0.5695317959468903,40861.92395825132
BARCELONA,9,93,1006,562,2.18900913339529,41.4162468091938,80193.0,18026.6806640625,0.558648111332008,55806.16968522298
BARCELONA,9,94,1491,846,2.19040276788493,41.4157193381107,80193.0,26839.0242919922,0.5674044265593562,55553.4353178726
BARCELONA,9,95,1459,824,2.18843873223559,41.4149581025346,80193.0,35984.7186279297,0.564770390678547,40544.98841815566
BARCELONA,9,156,982,575,2.18663588805519,41.4270698486578,80193.0,9575.85205078125,0.5855397148676171,102549.62115041065
BARCELONA,10,1,1059,579,2.1857831848502,41.415230516043,80193.0,32984.8751220703,0.546742209631728,32105.624049836686
BARCELONA,10,2,1198,661,2.18532215560529,41.4138052615849,80193.0,49694.0721435547,0.5517529215358932,24107.503135167804
BARCELONA,10,3,1103,746,2.18318669737325,41.4151002868846,80193.0,30504.1717529297,0.6763372620126926,36158.98864371117
BARCELONA,10,4,1093,672,2.1837421373743,41.4167678884679,80193.0,31658.5972900391,0.6148215919487648,34524.58711251544
BARCELONA,10,5,1236,663,2.18165612818568,41.4154995611393,80193.0,43847.0769042969,0.5364077669902912,28188.88024617384
BARCELONA,10,6,1317,767,2.18022450533169,41.4143671788611,80193.0,28079.6773681641,0.5823842065299925,46902.24829624201
BARCELONA,10,7,1017,699,2.17824441819552,41.4133454695505,80193.0,32115.9554443359,0.6873156342182891,31666.503017874944
BARCELONA,10,8,1158,667,2.17688028824815,41.4118473905279,80193.0,28360.4229736328,0.575993091537133,40831.548989118164
BARCELONA,10,9,1113,653,2.17853511353902,41.4116976148366,80193.0,27060.6395263672,0.5867026055705301,41129.84835097933
