MUNICIPI,DISTRICTE,SECCIO,MUNDISSEC,xcoord,ycoord
"080155","02","009","08015502009",2.23720690685376,41.452102779119
"080155","02","010","08015502010",2.23569199139809,41.4517263350143
"080155","02","011","08015502011",2.23691553065303,41.4527808074849
"080155","02","012","08015502012",2.23388239083,41.4518616220201
"080155","02","013","08015502013",2.23763461489321,41.4507546588614
"080155","02","015","08015502015",2.23521101489985,41.4534164795895
"080155","03","001","08015503001",2.23551106516111,41.438542706191
"080155","03","003","08015503003",2.23633034840984,41.4420034350502
"080155","03","004","08015503004",2.24105296154651,41.4415239835456
"080155","03","005","08015503005",2.23911384359246,41.4402001890141
"080155","03","006","08015503006",2.24280051563253,41.4429104087112
"080155","03","007","08015503007",2.2442611671461,41.4445201432757
"080155","03","008","08015503008",2.24003348193073,41.4441437090104
"080155","03","009","08015503009",2.24256893808663,41.4460872978679
"080155","03","010","08015503010",2.2304653875643,41.4392180386652
"080155","03","011","08015503011",2.23811604533744,41.4429681060512
"080155","03","013","08015503013",2.24426169348042,41.4405537802338
"080155","04","001","08015504001",2.2334932712359,41.45727927489
"080155","04","002","08015504002",2.24503490137569,41.4561477790718
"080155","04","003","08015504003",2.2471956730942,41.4604563293756
"080155","04","004","08015504004",2.23948337467625,41.4624023877988
"080155","04","005","08015504005",2.24230076181776,41.459345187676
"080155","04","006","08015504006",2.24214634055996,41.4641134336906
"080155","04","007","08015504007",2.2461871344275,41.463701620281
"080155","04","008","08015504008",2.24205363112221,41.4570664369657
"080155","04","009","08015504009",2.24742062115615,41.4585120795599
"080155","04","010","08015504010",2.24122711482584,41.4603773216984
"080155","04","011","08015504011",2.2499867471705,41.458743592592
"080155","04","012","08015504012",2.24438074054963,41.4585299025346
"080155","04","013","08015504013",2.24925121099305,41.4617632192118
"080155","04","014","08015504014",2.23979837057333,41.4552190181374
"080155","04","015","08015504015",2.2358632543937,41.4603011099469
"080155","04","016","08015504016",2.23800930804847,41.4611021166163
"080155","05","001","08015505001",2.2555286336184,41.4526298554804
"080155","05","002","08015505002",2.25342623542369,41.4537489335662
"080155","05","003","08015505003",2.25201376195008,41.4560379310695
"080155","05","004","08015505004",2.25824250896976,41.4553519031675
"080155","05","005","08015505005",2.26003226172824,41.4620370186962
"080155","05","006","08015505006",2.25293993957052,41.4526380126474
"080155","06","001","08015506001",2.23789180177613,41.4665643863083
"080155","06","002","08015506002",2.23308900558629,41.4776813285528
"080155","06","003","08015506003",2.25062770646771,41.4639133787856
