Nom municipi,Densitat,MUNICIPI
Sant Pere de Riudebitlles,440.74,82325
Sant Pere de Torelló,44.83,82331
Sant Pere de Vilamajor,130.95,82346
Sant Pol de Mar,723.73,82359
Sant Quintí de Mediona,167.9,82362
Sant Quirze Safaja,24.08,82397
Sant Quirze de Besora,265.93,82378
Sant Quirze del Vallès,1432.27,82384
Sant Sadurní d'Anoia,675.84,82401
Sant Sadurní d'Osormort,2.48,82418
Sant Salvador de Guardiola,86.82,80983
Sant Vicenç de Castellet,571.17,82628
Sant Vicenç de Montalt,796.54,82649
Sant Vicenç de Torelló,311.82,82652
Sant Vicenç dels Horts,3106.37,82634
Santa Cecília de Voltregà,21.16,82439
Santa Coloma de Cervelló,1102.4,82444
Santa Coloma de Gramenet,17206.14,82457
Santa Eugènia de Berga,325.43,82460
Santa Eulàlia de Riuprimer,100.22,82476
Santa Eulàlia de Ronçana,522.96,82482
Santa Fe del Penedès,107.94,82495
Santa Margarida de Montbui,370.47,82508
Santa Margarida i els Monjos,446.28,82515
Santa Maria d'Oló,15.47,82589
Santa Maria de Besora,6.52,82536
Santa Maria de Martorelles,197.78,82567
Santa Maria de Merlès,3.53,82554
Santa Maria de Miralles,4.76,82573
Santa Maria de Palautordera,569.82,82592
Santa Perpètua de Mogoda,1645.51,82606
Santa Susanna,281.59,82613
Santpedor,458.07,81923
Sentmenat,320.66,82671
Seva,116.58,82690
Sitges,673.19,82704
Sobremunt,5.65,82711
Sora,6.69,82726
Subirats,55.53,82732
Súria,252.03,82747
Tagamanent,7.34,82763
Talamanca,7.11,82779
Taradell,250.57,82785
Tavertet,3.23,82802
Tavèrnoles,17.13,82750
Teià,973.79,82819
Terrassa,3185.57,82798
Terrassola i Lavit,60.25,82877
Tiana,1118.13,82824
Tona,506.42,82830
Tordera,208.31,82845
Torelló,1066.67,82858
Torrelles de Foix,65.34,82883
Torrelles de Llobregat,446.54,82896
Ullastrell,286.16,82900
Vacarisses,167.86,82917
Vallbona d'Anoia,208.77,82922
Vallcebre,8.89,82938
Vallgorguina,135.2,82943
Vallirana,640.67,82956
Vallromanes,239.07,82969
Veciana,4.5,82975
Vic,1556.54,82981
Vilada,18.79,82994
Viladecans,3293.97,83015
Viladecavalls,375.37,83008
Vilafranca del Penedès,2048.67,83054
Vilalba Sasserra,125.5,83067
Vilanova de Sau,5.31,83036
Vilanova del Camí,1222.91,83020
Vilanova del Vallès,362.04,89024
Vilanova i la Geltrú,1992.15,83073
Vilassar de Dalt,1019.33,82140
Vilassar de Mar,5258.75,82191
Vilobí del Penedès,118.49,83041
Viver i Serrateix,2.57,83089
el Bruc,44.7,80253
el Brull,6.29,80266
el Figueró i Montmany,76.13,81347
el Masnou,7009.12,81189
el Papiol,468.76,81580
el Pla del Penedès,132.81,81640
el Pont de Vilomara i Rocafort,142.59,81825
el Prat de Llobregat,2028.7,81691
els Hostalets de Pierola,88.96,81629
els Prats de Rei,20.57,81705
l'Ametlla del Vallès,608.87,80057
l'Espunyola,6.82,80787
l'Esquirol,35.37,82541
l'Estany,39.61,80790
la Garriga,886.6,80885
la Granada,339.69,80945
la Llacuna,17.3,81043
la Llagosta,4529.0,81056
la Nou de Berguedà,6.48,81424
la Palma de Cervelló,544.0,89058
la Pobla de Claramunt,118.11,81653
la Pobla de Lillet,21.22,81666
la Quar,1.28,81770
la Roca del Vallès,291.44,81810
la Torre de Claramunt,249.4,82861
les Cabanyes,890.0,80272
les Franqueses del Vallès,699.79,80863
les Masies de Roda,43.84,81167
les Masies de Voltregà,139.82,81173
Òdena,69.6,81430
Òrrius,132.98,81537
Abella de la Conca,2.34,250019
Agramunt,67.89,250030
Aitona,38.37,250387
Albatàrrec,212.95,250077
Albesa,41.52,250083
Alcanó,11.33,250100
Alcarràs,84.93,250117
Alcoletge,205.69,250122
Alfarràs,242.54,250138
Alfés,9.31,250143
Algerri,7.44,250156
Alguaire,60.46,250169
Alins,1.48,250175
Almacelles,139.31,250194
Almatret,5.37,250208
Almenar,50.41,250215
Alpicat,409.54,250236
Alt Àneu,1.9,250241
Alàs i Cerc,5.55,250058
Alòs de Balaguer,1.91,250220
Anglesola,58.09,250273
Arbeca,36.47,250292
Arres,5.17,250313
Arsèguel,7.64,250328
Artesa de Lleida,64.23,250334
Artesa de Segre,19.33,250349
Aspa,21.57,250365
Baix Pallars,2.56,250390
Balaguer,304.92,250404
Barbens,115.53,250411
Bassella,3.09,250447
Bausen,3.39,250450
Belianes,33.12,250463
Bell-lloc d'Urgell,66.91,250485
Bellaguarda,16.78,251706
Bellcaire d'Urgell,38.18,250479
Bellmunt d'Urgell,36.27,250498
Bellpuig,149.09,250501
Bellver de Cerdanya,20.42,250518
Bellvís,48.39,250523
Benavent de Segrià,205.14,250539
Biosca,2.67,250557
Bossòst,39.54,250595
Bovera,7.97,250560
Cabanabona,5.0,250609
Cabó,1.16,250616
Camarasa,5.16,250621
Canejan,1.84,250637
Castell de Mur,2.77,259046
