Nom municipi,Densitat,MUNICIPI
l'Aldea,117.81,439044
l'Aleixar,34.21,430075
l'Ametlla de Mar,102.63,430136
l'Ampolla,92.05,439060
l'Arboç,397.8,430167
l'Argentera,11.58,430173
l'Espluga de Francolí,65.31,430542
la Bisbal de Falset,14.96,430271
la Bisbal del Penedès,111.72,430287
la Canonja,815.89,439076
la Fatarella,16.39,430568
la Febró,2.48,430574
la Figuera,6.1,430580
la Galera,26.76,430635
la Masó,77.78,430803
la Morera de Montsant,3.01,430960
la Nou de Gaià,139.53,430976
la Palma d'Ebre,8.92,430995
la Pobla de Mafumet,640.48,431093
la Pobla de Massaluca,7.3,431107
la Pobla de Montornès,234.47,431114
la Riba,73.13,431248
la Riera de Gaià,197.95,431264
la Secuita,95.96,431444
la Selva del Camp,160.99,431457
la Sénia,52.03,430445
la Torre de Fontaubella,18.45,431515
la Torre de l'Espanyol,21.54,431520
la Vilella Alta,25.58,431732
la Vilella Baixa,36.43,431747
les Borges del Camp,250.73,430311
les Piles,9.38,431055
Tarragona,2358.258465791292,431482
